PTM#,Final determination,genetic match/notes,Determination in the field,Vial in Martone Lab?,Extracted?,Date of Extraction,PCR date (psbA),psbA sequence?,PCR date (CO1),CO1 sequence?,PCR date (rbcL),RbcL sequence?,SSU sequence?,Red/Green/Brown,Locality,Date Collected,Notes,Accession #,Missing accession,Habitat,Fragments available?,Latitude,Longitude,Main Collector,Other collectors ,Determiners
629,Corallina sp. 1frondescens,,Corallina officinalis,,yes 30viv13,10/1/2013,1V13,x(KH),,,,,,Coralline,Botany Bay,19-Sep-13,recorded as bisporangial - but photo looks like a female,A89961,,mid pool,,,,,,
630,Lithothamnion phymatodeum,,Lithothamnion phymatodeum,,yes 30viv13,10/1/2013,1V13; 15i14,x(KH),,,,,,,Botany Bay,19-Sep-13,unknown life stage,A89962,,low surge ,,,,,,
631,Pseudolithophyllum sp.19muricatum,for phylogeny,Pseudolithophyllum whidbeyense,,yes 30viv13,10/1/2013,1V13,x(KH),8v15,X (CJ),,X (CJ),,Coralline,Botany Bay,19-Sep-13,appears tetrasporangial,A89963,,low surge ,,,,,,
632,Neopolyporolithon reclinatum,need rev,Clathromorphum sp.,,yes 30viv13,10/1/2013,1V13; 15i14 (failed),x(KH),,,,,,Coralline,Botany Bay,19-Sep-13,tetrasporangial,A89964,,low pool,,,,,,
633,Pseudolithophyllum sp. 19muricatum, rbcL and psbA reverse,Pseudolithophyllum whidbeyense,,yes 30viv13,10/1/2013,1V13,x(KH),8v15,X (CJ),,X (CJ),,Coralline,Botany Bay,19-Sep-13,vegetative,A89965,,low surge ,,,,,,
634,Bossiella plumosa,for phylogeny?,Bossiella plumosa ?,,yes 30viv13,10/1/2013,1V13; 15i14,x(KH),,X (July 2014) CJ,,,,Coralline,Botany Bay,19-Sep-13,bisporangial,A89966,,low surge,,,,,,
635,Bossiella plumosa,,Bossiella plumosa ?,,yes 30viv13,10/1/2013,1V13 (failed); 15i14,x(KH),,X (July 2014) CJ,,,,Coralline,Botany Bay,19-Sep-13,bisporangial,A89967,,low surge,,,,,,
636,Bossiella reptans,try rbcl ,Bossiella reptans,,yes 30viv13,10/1/2013,1V13; 15i14,x(KH),,,,,,Coralline,Botany Bay,19-Sep-13,tetrasporangial,A89968,,low surge,,,,,,
637,Johansenia macmillanii ,,Bossiella frondifera ?,,yes 30viv13,10/1/2013,1V13,x(KH),,,,,,Coralline,Botany Bay,19-Sep-13,gameteophyte,A89969,,low surge,,,,,,
638,,for RNA ,Calliarthron tuberculosum ,,,,,,,,,,,Coralline,"Bluestone Point, Bamfield",06-Oct-13,RNA sequence collected,A89970,,mid intertidal pools,,,,,,
639,,for RNA,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Bluestone Point, Bamfield",06-Oct-13,conceptacles in tube A,A89971,,mid pools,,,,,,
640,,for RNA,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Bluestone Point, Bamfield",06-Oct-13,for RNA,A89972,,mid pools,,,,,,
641,,for RNA,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Bluestone Point, Bamfield",06-Oct-13,for RNA,A89973,,mid pools,,,,,,
642,,for RNA,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Bluestone Point, Bamfield",06-Oct-13,for RNA,A89974,,mid pools,,,,,,
643,,for RNA,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Bluestone Point, Bamfield",06-Oct-13,for RNA,A89975,,mid pools,,,,,,
644,,for RNA,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Bluestone Point, Bamfield",06-Oct-13,for RNA,A89976,,mid pools,,,,,,
645,,for RNA,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Bluestone Point, Bamfield",06-Oct-13,for RNA,A89977,,mid pools,,,,,,
646,,for RNA,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Bluestone Point, Bamfield",06-Oct-13,for RNA,A89978,,mid pools,,,,,,
647,,for RNA,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Bluestone Point, Bamfield",06-Oct-13,for RNA,A89979,,mid pools,,,,,,
648,,for RNA,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Bluestone Point, Bamfield",06-Oct-13,for RNA,A89980,,mid pools,,,,,,
649,,for RNA,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Bluestone Point, Bamfield",06-Oct-13,for RNA,A89981,,mid pools,,,,,,
650,,for RNA,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Bluestone Point, Bamfield",06-Oct-13,for RNA,A89982,,mid pools,,,,,,
651,,for RNA,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Bluestone Point, Bamfield",06-Oct-13,for RNA,A89983,,mid pools,,,,,,
652,,for RNA,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Bluestone Point, Bamfield",06-Oct-13,for RNA,A89984,,mid pools,,,,,,
653,,for RNA,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Bluestone Point, Bamfield",06-Oct-13,for RNA,A89985,,mid pools,,,,,,
654,,for RNA,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Bluestone Point, Bamfield",06-Oct-13,for RNA,A89986,,mid pools,,,,,,
655,,for RNA,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Bluestone Point, Bamfield",06-Oct-13,for RNA,A89987,,mid pools,,,,,,
656,,for RNA,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Bluestone Point, Bamfield",06-Oct-13,for RNA,A89988,,mid pools,,,,,,
657,,for RNA,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Bluestone Point, Bamfield",06-Oct-13,for RNA,A89989,,mid pools,,,,,,
658,,for RNA,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Bluestone Point, Bamfield",06-Oct-13,for RNA,A89990,,mid pools,,,,,,
659,,no  more DNA,Bossiella dichotoma,,Yes,,,,,,,,,Coralline,"Hakai, North Beach Boulders",27-May-13,"was PTM 515b, however no accession, new #",A89991,,"mid intertidal, on rock ",,,,,,
660,Corsp2TAS_Arthrocardia,match to GWS022470Corsp2TAS_Arthrocardia,Corallina caespitosa,,Yes; 19xii13,,15i15,,,,,,,Coralline,"Clovelly Beach, Australia",26-May-12,from Jan Slapeta,A89992,,no info given,,,,,,
661,Amphsp1TAS,match to GWS016546Amphsp1TAS,Corallina caespitosa,,Yes; 19xii13,,15i15,,,,,,,Coralline,"Clovelly Beach, Australia",26-May-12,from Jan Slapeta,A89993,,no info given,,,,,,
662,GWS Amphsp1TAS.. corallina caespitosa????,match to GWS016546Amphsp1TAS - needs forward,Amphiroa sp.,,Yes; 19xii13,,15i15,,,,,,,Coralline,"Clovelly Beach, Australia",26-May-12,from Jan Slapeta,A89994,,no info given,,,,,,
663,Corallina caespitosa,,Corallina caespitosa,,Yes,,,,,,,,,Coralline,"Clovelly Beach, Australia",26-May-12,from Jan Slapeta,A89995,,no info given,,,,,,
664,,,Sarcodiotheca sp.,no,,,,,,,,,,Red,"Hakai, Maey Island",27-May-13,error; needed to assign new #; check voucher for vial (sent in for accession?),A89996,,"subtidal, 3m",,,,,,
665,Spongites tumidum,Corallinac sp. 10BCcrust (CO1),Lithophyllum sp.,,Yes 6xii13,,13xii13 ,x(KH),8i14,,,,,Coralline,Brady's Blowhole channel #1,30-Nov-13,unknown life stage,A91432,,mid on rock with Hildenbrandia ,y,,,,,
666,Spongites tumidum,,Leptophytum sp?,,Yes 6xii13,,13xii13,x(KH),8i14 failed,,,,,Coralline,Brady's Blowhole channel #1,30-Nov-13,unknown life stage,A91433,,mid on rock ,y,,,,,
667,Spongites tumidum,,Leptophytum sp?,,Yes 6xii13,,13xii13,x(KH),8i14,,,,,Coralline,Brady's Blowhole channel #1,30-Nov-13,tetrasporophyte,A91434,,mid on rock,,,,,,
668,Spongites decipiens,Corallinac sp. 5ATcrust (CO1),Lithophyllum sp.,,Yes 6xii13,,13xii13,x(KH),8i14,,,,,Coralline,Brady's Blowhole channel #1,30-Nov-13,unknown life stage,A91435,,mid on rock,,,,,,
669,Pseudolithophyllum sp. 1whidbeyense,,Pseudolithophyllum whidbeyense,,Yes 6xii13,,13xii13,x(KH),8i14,X (CJ),,X (CJ),,Coralline,Brady's Blowhole channel #1,30-Nov-13,tetrasporophyte,A91384,,mid in pool,,,,,,
670,Lithothamnion phymatodeum,,Lithothamnion sp.,,Yes 6xii13,,13xii13,x(KH),8i14,,,,,Coralline,Brady's Blowhole channel #1,30-Nov-13,bisporangial,A91436,,mid-low in pool with sand on rock,,,,,,
671,Pseudolithophyllum sp. 1whidbeyense,,Pseudolithophyllum whidbeyense,,Yes 6xii13,,13xii13,x(KH),8i14,X (CJ),,X (CJ),,Coralline,Brady's Blowhole channel #1,30-Nov-13,tetrasporophyte,A91385,,low surge channel on rock,y,,,,,
672,Lithothamnion phymatodeum,,Mesophyllum sp?,,Yes 6xii13,,13xii13,x(KH),8i14,,,,,Coralline,Brady's Blowhole channel #1,30-Nov-13,unknown life stage,A91437,,low surge channel on rock,y,,,,,
673,Spongites decipiens,,Lithophyllum sp.,,Yes 9xii13,,13xii13,x(KH),8i14,,,,,Coralline,Brady's Blowhole channel #1,30-Nov-13,,no voucher,,"low surge channel on rock, on boulder",,,,,,
674,Lithophyllum sp. 1,Corallinac sp. 12BCcrust (CO1),Mauve crust,,Yes 9xii13,,13xii13,x(KH),8i14,,,,,Coralline,Brady's Blowhole channel #1,30-Nov-13,tetrasporangial,A91438,,low on rock,,,,,,
675,Lithothamnion phymatodeum,,Mesophyllum sp?,,Yes 9xii13,,13xii13,x(KH),8i14 failed,,,,,Coralline,Brady's Blowhole channel #1,30-Nov-13,tetrasporangial,A91439,,low on rock,y,,,,,
676,Melobesia sp.2,Melobesia sp.2,Melobesia sp.,,Yes 9xii13,,13xii13,x(KH),8i14 failed,,,,,Coralline,Brady's Blowhole channel #1,30-Nov-13,unknown,A91440,,low intertidal on rock,y,,,,,
677,Melobesia sp.2,Melobesia sp.2,Melobesia sp.,,Yes 9xii13,,13xii13,x(KH),8i14 failed,,,,,Coralline,Brady's Blowhole channel #1,30-Nov-13,,A91441,,low intertidal on rock,y,,,,,
678,Pseudolithophyllum sp. 2whidbeyense,,Lithophyllum sp.,,Yes 9xii13,,13xii13,x(KH),"8i14 failed, 8v15",X (CJ),,X (CJ),,Coralline,"Brady's Blowhole, exposed point",30-Nov-13,tetrasporangial,A91386,,"low intertidal, exposed",,,,,,
679,Leptophytum lamellicola,Corallinac sp. 17BCcrust (CO1),Mesophyllum sp.,,Yes 9xii13,,13xii13,x(KH),8i14,,,,,Coralline,"Brady's Blowhole, exposed point",30-Nov-13,tetrasporangial,A91442,,"low intertidal, exposed",,,,,,
680,Leptophytum lamellicola,,Lithophyllum sp.,,Yes 9xii13,,13xii13,x(KH),8i14,,,,,Coralline,"Brady's Blowhole, exposed point",30-Nov-13,unknown life stage,A91443,,low in pool,,,,,,
681,,messy sequence. gave up,Pseudolithophyllum sp.,,Yes 13xii13,,13xii13; 15i14,,8i14 failed,,,,,Coralline,"Brady's Blowhole, exposed point",30-Nov-13,female?,A91444,,low in pool,y,,,,,
682,Pseudolithophyllum sp. 19muricatum,,Spongites tumidum?,,Yes 13xii13,,13xii13,x(KH),"8i14, 8v15",X (CJ),,X (CJ),,Coralline,"Brady's Blowhole, exposed point",30-Nov-13,carposporangial,A91387,,mid/low on rock,y,,,,,
683,Pseudolithophyllum sp. 1whidbeyense,,Pseudolithophyllum whidbeyense,,Yes 13xii13,,13xii13,x(KH),8i14,X (CJ),,X (CJ),,Coralline,"Brady's Blowhole, exposed point",01-Dec-13,carposporangial,A91388,,mid on rock,y,,,,,
684,Pseudolithophyllum sp. 1whidbeyense,,Lithophyllum sp.,,Yes 13xii13,,13xii13,x(KH),8i14,X (CJ),,X (CJ),,Coralline,"Brady's Blowhole, exposed point",01-Dec-13,tetrasporangial,no voucher,,low in pool,,,,,,
685,Lithophyllum sp. 1,Lithophyllum sp. 1,Mauve crust,,Yes 13xii13,,13xii13,x(KH),8i14,,,,,Coralline,"Brady's Blowhole, exposed point",01-Dec-13,tetrasporangial,A91445,,low surge on rock,y,,,,,
686,Spongites tumidum,,Lithophyllum sp.,,Yes 13xii13,,13xii13,x(KH),8i14,,,,,Coralline,"Brady's Blowhole, 2nd surge channel",01-Dec-13,tetrasporangial,no voucher,,mid- high on rock,,,,,,
687,Spongites tumidum,,Spongites tumidum?,,Yes 13xii13,,13xii13,x(KH),8i14,,,,,Coralline,"Brady's Cave, surge",01-Dec-13,life stage unknown - looks like gamet based on flow data,no voucher,,"HIGH!, Brady's cave, on rock",,,,,,
688,Spongites tumidum,,Spongites tumidum?,,Yes 13xii13,,13xii13,x(KH),8i14,,,,,Coralline,"Brady's Cave, surge",01-Dec-13,tetrasporangial,no voucher,,"HIGH!, Brady's cave, on rock",,,,,,
689,Spongites tumidum,,Spongites tumidum?,,Yes 13xii13,,13xii13,x(KH),8i14,X (CJ),,,,Coralline,"Brady's Cave, surge",01-Dec-13,tetrasporangial,A91446,,"HIGH!, Brady's cave, on rock",y,,,,,
690,Spongites tumidum,,Leptophytum sp?,,Yes 13xii13,,13xii13,x(KH),8i14,,,,,Coralline,"Scott's Bay, south end",01-Dec-13,tetrasporangial,A91447,,"mid/low intertidal, by cobble",y,,,,,
691,,,Coralline crust,,No,,,,,,,,,Coralline,"Little Salmon Bay, Australia ",09-Jan-14,bleached and unable to scrape off rock,A91448,,not in LYB,y,,,,,
692,,,Coralline crust,,Yes 11iii14,,,,,,,,,Coralline,"Little Salmon Bay, Australia",09-Jan-14,,A91449,,not in LYB,y,,,,,
693, Neogoniolithon sp1WA,"match to GWS  Neogoniolithon sp1WA, match to  Neogoniolithon brassica-florida isolate ND94 GENBANK",Coralline crust,,Yes 11iii14,,,,,,,,,Coralline,"Little Salmon Bay, Australia",09-Jan-14,,A91450,,thin crust,y,,,,,
694,Lithophyllum sp.3,"no match GWS, match to PTM702b, 695, 701 ",Coralline crust,,Yes 11iii14,,,,,,,,,Coralline,"Little Salmon Bay, Australia",09-Jan-14,bumpy (!) crust,A91451,,not in LYB,y,,,,,
695,Lithophyllum sp.3,"match to 702b, 701, 694",Coralline crust,,Yes 11iii14,,,,,,,,,Coralline,"Mary Cove, Australia ",08-Jan-14,bumpy on rock w/ 696,A91452,,"smooth, on rock with 696",y,,,,,
696, Neogoniolithon sp1WA,match to GWS  Neogoniolithon sp1WA,Coralline crust,,Yes 11iii14,,,,,,,,,Coralline,"Mary Cove, Australia",08-Jan-14,bumpy on rock w/ 695,A91453,,"bumpy, on rock with 695",y,,,,,
697,coralline crust unknown1,"match to 702a, 700, no match on blast",Coralline crust,,Yes 11iii14,,,,,,,,,Coralline,"Little Salmon Bay, Australia ",09-Jan-14,,A91454,,not in LYB,,,,,,
698,,,Coralline crust,,Yes 11iii14,,,,,,,,,Coralline,"Mary Cove, Australia ",08-Jan-14,,A91455,,not in LYB,y,,,,,
699,,,Coralline crust,,Yes 11iii14,,,,,,,,,Coralline,"Mary Cove, Australia",08-Jan-14,,A91456,,not in LYB,y,,,,,
700,coralline crust unknown1,"match to 702a, 697 no match on blast",Coralline crust,,Yes 11iii14,,,,,,,,,Coralline,"Little Salmon Bay, Australia ",09-Jan-14,,A91457,,not in LYB,y,,,,,
701,Lithophyllum sp.3,"match to 694, 695, 702b",Coralline crust,,Yes 11iii14,,,,,,,,,Coralline,"Ricey Beach, Australia ",08-Jan-14,,A91458,,not in LYB,y,,,,,
702,,,Coralline crust,,,,,,,,,,,Coralline,"Little Salmon Bay, Australia",09-Jan-14,,A91459,,not in LYB,y,,,,,
703,Metasp1WA_Metamastophora,match to GWS024557Metasp1WA_Metamastophora,Metamastophora flabellata,,Yes 13iii14,,,,,,,,,Coralline,"Little Salmon Bay, Australia",09-Jan-14,,A91460,,not in LYB,y,,,,,
704,unknown species,"good sequence? - no match, NO MATCH ON BLAST",corallinoid #1,,Yes 13iii14,,,,,,,,,Coralline,"Mary Cove, Australia",08-Jan-14,,A91461,,not in LYB,,,,,,
705,coralline crust unknown2,"good sequence - match to 706, match to GQ917712.1 on BLAST",corallinoid #2,,Yes 13iii14,,,,,,,,,Coralline,"Mary Cove, Australia",08-Jan-14,,A91462,,not in LYB,,,,,,
706,coralline crust unknown2,good sequence - match to 705 match to GQ917712.1 on BLAST,corallinoid #3,,Yes 13iii14,,,,,,,,,Coralline,Geordie Bay,09-Jan-14,,A91463,,not in LYB,,,,,,
707, Neogoniolithon sp1WA,match to GWS  Neogoniolithon sp1WA - no voucher,coralline crust,,Yes 13iii14,,,,,,,,,Coralline,"Ricey Beach, Australia ",08-Jan-14,no voucher,no voucher,,not in LYB,,,,,,
708,Lithothamnion sp.4,no match,coralline crust,,Yes 13iii14,,,,,,,,,Coralline,"Ricey Beach, Australia",08-Jan-14,no voucher,no voucher,,not in LYB,,,,,,
709,,,Metagoniolithon chara,,Yes 13iii14,,,,,,,,,Coralline,"Carnac Island, Australia",08-Jan-14,#1,A91464,,"subtidal, 10ft; epiphytic on seagrass",,,,,,
710,Metasp1WA_Metagoniolithon,match to GWS GWS024395Metasp1WA_Metagoniolithon,Metagoniolithon chara,,Yes 13iii14,,,,,,,,,Coralline,"Carnac Island, Australia",08-Jan-14,#2,A91465,,"subtidal, 10ft; epiphytic on seagrass",,,,,,
711,,,Metagoniolithon chara,,,,,,,,,,,Coralline,"Carnac Island, Australia",08-Jan-14,"#3",A91466,,"subtidal, 10ft; epiphytic on seagrass",y,,,,,
712,,,Metagoniolithon chara,,,,,,,,,,,Coralline,"Carnac Island, Australia",08-Jan-14,#4,A91467,,"subtidal, 10ft; epiphytic on seagrass",y,,,,,
713,,,Metagoniolithon chara,,,,,,,,,,,Coralline,"Carnac Island, Australia",08-Jan-14,#5,A91418,,"subtidal, 10ft; epiphytic on seagrass",,,,,,
714,Corallina vancouveriensis ,for flow ,Corallina vancouveriensis ,,,,,,,,,,,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,for flow cytometry,A91468,,"high intertidal, on rock",y,,,,,
715,Corallina vancouveriensis ,for flow,Corallina vancouveriensis,,,,,,,,,,,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,for flow cytometry,A91469,,"low intertidal, on rock",y,,,,,
716,Pseudolithophyllum sp. 2whidbeyense,for flow,Coralline crust,,,,,X (CJ),8v15,X (CJ),,X (CJ),,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,for flow cytometry,A91389,,"low intertidal, on rock",y,,,,,
717,,for flow,Lithothamnion phymatodeum,,,,,,,,,,,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,for flow cytometry,A91470,,"low intertidal, on rock",y,,,,,
718,Lithophyllum sp. 1,"growing over other coralline crust , white margin",Lithophyllum sp.1,,,,,,,,,,,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,"growing over other coralline crust; looks like a button (popped off); white margin ",A91471,,"low intertidal, on rock",,,,,,
719,Pseudolithophyllum sp.19muricatum,for flow,Coralline crust,,,,,X (CJ),8v15,X (CJ),,X (CJ),,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,fow flow cytometry,A91390,,"low intertidal, on rock",,,,,,
720,,for flow,Coralline crust,,,,,,,,,,,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,fow flow cytometry,A91472,,"low intertidal, on rock",,,,,,
721,Bossiella frondescens,for flow - for phylogeny,Bossiella frondescens,,,,,,,,,,,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,fow flow cytometry,A90725,,"high intertidal, pool ",,,,,,
722,Leptophytum lamellicola,"for flow, under Phyllo. ",Coralline crust,,,,,,,,,,,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,"for flow, under Phyllo",A91474,,"low intertidal, on rock",,,,,,
723,Lithothamnion phymatodeum,for flow,Lithothamnion phymatodeum,,,,,,,,,,,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,for flow cytometry,A91475,,"low intertidal, on rock",y,,,,,
724,,for flow; messy sequence gave up,Lithothamnion phymatodeum,,,,,,,,,,,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,for flow cytometry,A91476,,"low intertidal, on rock, surge channel",y,,,,,
725,Pseudolithophyllum sp. 2whidbeyense,"smooth. no white margin, reproductive",Spongites decipiens,,,,,X (CJ),8v15,X (CJ),,X (CJ),,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,smooth; reproductive; no white margin,A91391,,"low intertidal, on rock",y,,,,,
726,Corallina sp. 1 frondescens,for flow,Corallina sp.1 frondescens,,,,,,,,,,,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,for flow cytometry,A91477,,"low intertidal, tidepool",y,,,,,
727,Lithophyllum sp. 1,with saccharina sessilis ,Coralline crust,,,,,,,,,,,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,w/ Saccharina sessilis,A91478,,mid - low intertidal ,,,,,,
728,Bossiella frondifera,"for flow - try rbcL, messy Co1",Bossiella sp.,,,,,,,,,,,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,for flow cytometry,A90726,,low intertidal,y,,,,,
729,Melobesia sp. 2,on phyllospadix,Melobesia,,,,,,,,,,,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,on phyllospadix,A91480,,low intertidal,,,,,,
730,,"for flow, gave up, messy seq",Corallina vancouveriensis,,,,,,,,,,,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,flow,A91481,,"low intertidal, on rock",y,,,,,
731,Melobesia sp.2,for flow,Melobesia,,,,,,,,,,,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,flow,A91482,,low intertidal,y,,,,,
732,,"with sponge and saccharina sessilis, messy sequence, gave up",Coralline crust,,,,,,,,,,,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,w/ sponge and Saccharina sessilis,A91483,,mid - low intertidal ,y,,,,,
733,,"for flow, messy sequence, gave up",Coralline crust,,,,,,,,,,,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,flow,A91484,,"low intertidal, pool",,,,,,
734,Bossiella frondifera,for flow - good CO1,Bossiella frondifera,,,,,,,,,,,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,flow,A90727,,low intertidal on rock,y,,,,,
735,,"for flow, messy sequence, gave up",Coralline crust,,,,,,,,,,,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,flow,A91485,,low intertidal on rock,,,,,,
736,Bossiella frondifera,for flow,Bossiella frondifera,,,,,,,X(CJ July 2014),,,,Coralline,"Brady's Blowhole, Bamfield",31-Jan-14,flow,A90728,,low intertidal on rock,y,,,,,
737,Lithothamnion phymatodeum ,rock voucher,Coralline crust,,,,,,,,,,,Coralline,"Scott's Bay, Bamfield ",01-Feb-14,rock voucher,A91486,,"3M depth, rocky cobble ",,,,,,
738,Corallina sp. 1 frondescens,,Corallina officinalis,,,,,,,,,,,Coralline,"Scott's Bay, Bamfield",01-Feb-14,,A91487,,"3M depth, rocky cobble",y,,,,,
739,Corsp23BCcrust,"rock voucher, match to GWS020166Corsp23BCcrust",Coralline crust,,,,,,,,,,,Coralline,"Scott's Bay, Bamfield",01-Feb-14,rock voucher,A91488,,"3M depth, rocky cobble",,,,,,
740,Corallina sp. 1 frondescens,,Corallina officinalis,,,,,,,X(CJ July 2014),,,,Coralline,"Scott's Bay, Bamfield",01-Feb-14,,A91489,,"3M depth, rocky cobble",y,,,,,
741,Lithothamnion glaciale,"moderate/poor CO1 , need rbcL",Coralline crust,,,,,,,,,,,Coralline,"Scott's Bay, Bamfield",01-Feb-14,rock voucher,A91490,,"3M depth, rocky cobble",,,,,,
742,Corallina sp. 1 frondescens,,Corallina officinalis,,,,,,,,,,,Coralline,"Scott's Bay, Bamfield",01-Feb-14,,A91491,,"3M depth, rocky cobble",y,,,,,
743,Corallina sp. 1 frondescens,for flow,Corallina officinalis,,,,,,,,,,,Coralline,"Scott's Bay, Bamfield",01-Feb-14,for flow cytometry,A91492,,"3M depth, rocky cobble",y,,,,,
